,Modification,Size,BPCY,WYIELD
0,{},0,0.04897398894790692,0.14692196684372125
1,"{'ECD_02168': 0, 'ECD_03138': 0, 'ECD_02126': 16, 'ECD_03395': 16, 'ECD_02928': 4, 'ECD_03418': 0.25, 'ECD_00741': 0, 'ECD_02298': 0.0625, 'ECD_01221': 0.0625}",9,0.0,0.0
2,"{'ECD_01894': 32, 'ECD_02168': 0, 'ECD_02126': 16, 'ECD_03395': 16, 'ECD_02928': 4, 'ECD_03418': 0.25, 'ECD_00741': 0, 'ECD_02298': 0.0625, 'ECD_01221': 0.0625}",9,0.0,0.0
3,"{'ECD_01894': 32, 'ECD_02168': 0, 'ECD_03138': 0, 'ECD_03395': 16, 'ECD_02928': 4, 'ECD_03418': 0.25, 'ECD_00741': 0, 'ECD_02298': 0.0625, 'ECD_01221': 0.0625}",9,0.0,0.0
4,"{'ECD_01894': 32, 'ECD_02168': 0, 'ECD_03138': 0, 'ECD_02126': 16, 'ECD_02928': 4, 'ECD_03418': 0.25, 'ECD_00741': 0, 'ECD_02298': 0.0625, 'ECD_01221': 0.0625}",9,0.0,0.0
5,"{'ECD_01894': 32, 'ECD_02168': 0, 'ECD_03138': 0, 'ECD_02126': 16, 'ECD_03395': 16, 'ECD_02928': 4, 'ECD_00741': 0, 'ECD_02298': 0.0625, 'ECD_01221': 0.0625}",9,0.0,0.0
6,{'ECD_02928': 4},1,0.12895312549168017,0.09671484411974741
7,"{'ECD_02928': 2, 'ECD_00741': 0}",2,0.08679087541229821,0.0
8,"{'ECD_02928': 2, 'ECD_02298': 0.0625, 'ECD_00875': 4, 'ECD_03395': 16}",4,0.0867908754122928,0.13018631311803952
9,"{'ECD_03927': 0, 'ECD_02928': 2}",2,0.08679087541164164,0.13018631311836987
10,"{'ECD_00741': 0, 'ECD_02298': 0.0625, 'ECD_02928': 4}",3,0.0,0.0
11,{'ECD_01633': 2},1,0.08679083951260629,0.13018625926881322
12,"{'ECD_00875': 4, 'ECD_02126': 16, 'ECD_03395': 16, 'ECD_02928': 2, 'ECD_02298': 0.0625}",5,0.0867908754122928,0.13018631311803952
13,"{'ECD_01901': 0.03125, 'ECD_02531': 4, 'ECD_02928': 2, 'ECD_02298': 0.0625, 'ECD_00149': 0.5}",5,0.0867908754122928,0.13018631311803952
